"Mode : 1 - Takoyaki AM, 2 - Sheet pAM, 3 - 3D xAM",,,,,,,,,,
,,,,,,,,,,
Z axis,,,,X axis,,,,Y axis,,
FWHM (mm),Mode,Phantom,,FWHM,Mode,Phantom,,FWHM,Mode,Phantom
0.092927427,1,1,,0.314812003,2,3,,0.705919304,2,3
0.129095003,1,1,,0.461539064,2,3,,0.215462622,2,3
0.082014712,1,1,,0.414482258,3,3,,0.265381372,2,3
0.110977864,1,1,,0.494525419,3,3,,0.3287987,2,3
0.113076071,1,1,,0.327141401,3,3,,0.463589179,2,3
0.121470968,1,1,,0.414922125,3,3,,0.495339046,2,3
0.096418756,1,1,,0.342961516,3,3,,0.343405881,2,3
0.097190552,1,1,,0.250760231,3,3,,0.255957995,2,3
0.090192909,1,1,,0.210068211,3,3,,0.518630387,3,3
0.091225864,1,1,,0.670957618,3,3,,0.322044929,3,3
0.082368629,1,1,,0.235657889,3,3,,0.523347454,3,3
0.123754016,1,1,,0.257877525,3,3,,0.397046204,3,3
0.112597992,1,1,,0.650838962,3,3,,0.524510041,3,3
0.117227969,1,1,,0.539510204,3,3,,0.451744272,3,3
0.10139559,1,1,,0.316742066,3,3,,0.622479363,3,3
0.107109109,1,1,,0.536453159,3,3,,0.50338694,3,3
0.095507659,1,1,,0.186781729,3,3,,0.902646616,3,3
0.117506408,1,1,,0.30590276,3,3,,0.450634477,3,3
0.109512036,1,1,,0.266651103,3,3,,0.414246403,3,3
0.088654296,1,1,,0.433275453,3,3,,0.674819077,3,3
0.083252522,1,1,,0.237371125,3,3,,0.341742734,3,3
0.091835165,1,1,,0.27847189,3,3,,0.683059826,3,3
0.091711703,1,1,,0.253283025,3,3,,0.368886641,3,3
0.093981944,1,1,,0.229138274,3,3,,0.351042162,3,3
0.08803259,1,1,,0.300524038,3,3,,0.523507967,3,3
0.092670983,1,1,,0.455813932,3,3,,0.269023571,3,3
0.074292387,1,1,,0.141377734,3,3,,0.711196453,3,3
0.072017352,1,1,,0.281228381,3,3,,0.792289894,3,3
0.09497296,1,1,,1.052943128,3,3,,0.939033097,3,3
0.088464062,1,1,,0.303670769,3,3,,0.208510891,3,3
0.079312222,1,1,,0.235885266,3,3,,0.551465805,3,3
0.081283592,1,1,,0.490315896,3,3,,0.423855098,3,3
0.105816579,1,1,,0.315662718,3,3,,0.994316814,3,3
0.067942545,1,1,,0.585193434,3,3,,0.40256107,3,3
0.075576116,1,1,,0.575994227,3,3,,0.576266865,3,3
0.076073319,1,1,,0.313036936,3,3,,0.527131712,3,3
0.06961465,1,1,,0.529418211,3,3,,0.410960094,3,3
0.064910574,1,1,,0.695868453,3,3,,0.479195113,3,3
0.084450823,1,1,,0.47835463,3,3,,0.329601435,3,3
0.117125598,1,1,,0.27536052,3,3,,0.716711658,3,3
0.129772657,1,1,,0.120557131,3,3,,0.299927648,3,3
0.118531984,1,1,,0.543228795,3,3,,0.591356164,3,3
0.078031735,1,1,,0.280675813,3,3,,0.762733921,3,3
0.117027074,1,1,,0.298193842,3,3,,0.258408753,3,3
0.088629124,1,1,,0.582061302,3,3,,0.185052163,3,3
0.081211791,1,1,,0.347319955,3,3,,0.244322733,3,3
0.151881885,1,1,,0.421980222,1,4,,0.354048776,3,3
0.089086992,1,1,,0.269749577,1,4,,0.40383997,3,3
0.095010348,1,1,,0.324735959,1,4,,0.529306909,3,3
0.071999566,1,1,,0.330129093,1,4,,0.982696539,3,3
0.088319311,1,1,,0.32378093,1,4,,0.542943193,3,3
0.083991494,1,1,,0.284728627,1,4,,0.408571056,3,3
0.11840529,1,1,,0.297925225,1,4,,0.702048273,3,3
0.068941896,1,1,,0.156843874,1,4,,0.743246054,3,3
0.082657722,1,1,,0.244329713,1,4,,0.353612836,1,4
